step 0: train loss 4.2393, val loss 4.2355
iter 0: loss 4.2554, time 344154.80ms, mfu -100.00%, MPS mem allocated=0.81GB, reserved=11.75GB
iter 400: loss 2.4028, time 5077.16ms, mfu 0.21%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 410: loss 2.4075, time 6203.41ms, mfu 0.20%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 420: loss 2.4104, time 4296.43ms, mfu 0.20%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 430: loss 2.3940, time 5129.77ms, mfu 0.19%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 440: loss 2.3856, time 4044.76ms, mfu 0.20%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 450: loss 2.4000, time 4223.28ms, mfu 0.20%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 460: loss 2.3532, time 4407.93ms, mfu 0.19%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 470: loss 2.3681, time 7149.34ms, mfu 0.19%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 480: loss 2.3749, time 3641.71ms, mfu 0.19%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 490: loss 2.3586, time 3525.12ms, mfu 0.19%, MPS mem allocated=0.81GB, reserved=11.76GB
step 500: train loss 2.3277, val loss 2.3969
saving checkpoint to out-shakespeare-char
iter 500: loss 2.3674, time 406305.12ms, mfu 0.18%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 510: loss 2.3382, time 4948.21ms, mfu 0.17%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 520: loss 2.3262, time 4169.18ms, mfu 0.18%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 530: loss 2.3047, time 4598.85ms, mfu 0.18%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 540: loss 2.3043, time 4840.62ms, mfu 0.18%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 550: loss 2.3046, time 3522.11ms, mfu 0.18%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 560: loss 2.2970, time 3906.49ms, mfu 0.18%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 570: loss 2.2947, time 4065.61ms, mfu 0.19%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 580: loss 2.2838, time 4083.31ms, mfu 0.19%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 590: loss 2.2841, time 5884.83ms, mfu 0.18%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 600: loss 2.2747, time 7015.21ms, mfu 0.18%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 610: loss 2.2601, time 5954.46ms, mfu 0.17%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 620: loss 2.2563, time 4155.35ms, mfu 0.17%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 630: loss 2.2596, time 4484.91ms, mfu 0.18%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 640: loss 2.2454, time 4120.99ms, mfu 0.18%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 650: loss 2.2626, time 4956.08ms, mfu 0.18%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 660: loss 2.2684, time 4486.40ms, mfu 0.18%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 670: loss 2.2573, time 4279.21ms, mfu 0.18%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 680: loss 2.2144, time 4122.09ms, mfu 0.18%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 690: loss 2.1992, time 3966.74ms, mfu 0.18%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 700: loss 2.2209, time 5715.77ms, mfu 0.18%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 710: loss 2.1891, time 5494.71ms, mfu 0.18%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 720: loss 2.2222, time 5465.73ms, mfu 0.17%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 730: loss 2.1886, time 4133.57ms, mfu 0.18%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 740: loss 2.1904, time 3723.68ms, mfu 0.18%, MPS mem allocated=0.81GB, reserved=11.76GB
step 750: train loss 2.1387, val loss 2.2065
saving checkpoint to out-shakespeare-char
iter 750: loss 2.1691, time 398186.36ms, mfu 0.16%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 760: loss 2.1588, time 3624.25ms, mfu 0.17%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 770: loss 2.1356, time 3969.47ms, mfu 0.17%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 780: loss 2.1107, time 3802.88ms, mfu 0.18%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 790: loss 2.0843, time 4097.86ms, mfu 0.18%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 800: loss 2.0514, time 3789.91ms, mfu 0.18%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 810: loss 1.9862, time 3864.66ms, mfu 0.19%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 820: loss 1.9325, time 3665.54ms, mfu 0.19%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 830: loss 1.8527, time 4413.82ms, mfu 0.19%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 840: loss 1.8218, time 3850.35ms, mfu 0.19%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 850: loss 1.7924, time 3920.50ms, mfu 0.19%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 860: loss 1.7502, time 3471.00ms, mfu 0.20%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 870: loss 1.7244, time 3002.46ms, mfu 0.21%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 880: loss 1.6873, time 3446.00ms, mfu 0.21%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 890: loss 1.6594, time 3375.23ms, mfu 0.21%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 900: loss 1.6243, time 3355.16ms, mfu 0.22%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 910: loss 1.6192, time 3784.45ms, mfu 0.22%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 920: loss 1.6011, time 3243.50ms, mfu 0.22%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 930: loss 1.5703, time 3114.65ms, mfu 0.22%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 940: loss 1.5636, time 3061.90ms, mfu 0.23%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 950: loss 1.5444, time 2986.96ms, mfu 0.23%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 960: loss 1.5170, time 4513.79ms, mfu 0.23%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 970: loss 1.5163, time 3550.17ms, mfu 0.23%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 980: loss 1.5193, time 3678.11ms, mfu 0.23%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 990: loss 1.5125, time 4311.39ms, mfu 0.22%, MPS mem allocated=0.81GB, reserved=11.76GB
step 1000: train loss 1.3795, val loss 1.4621
saving checkpoint to out-shakespeare-char
iter 1000: loss 1.4776, time 381178.37ms, mfu 0.20%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 1010: loss 1.4913, time 3738.52ms, mfu 0.20%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 1020: loss 1.4990, time 3616.77ms, mfu 0.21%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 1030: loss 1.4662, time 3619.59ms, mfu 0.21%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 1040: loss 1.4764, time 3123.33ms, mfu 0.21%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 1050: loss 1.4412, time 3551.74ms, mfu 0.21%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 1060: loss 1.4274, time 3628.33ms, mfu 0.22%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 1070: loss 1.4290, time 4224.91ms, mfu 0.21%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 1080: loss 1.4361, time 3568.74ms, mfu 0.22%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 1090: loss 1.4219, time 3846.13ms, mfu 0.22%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 1100: loss 1.3970, time 4024.95ms, mfu 0.21%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 1110: loss 1.4360, time 3764.48ms, mfu 0.21%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 1120: loss 1.3991, time 3430.88ms, mfu 0.22%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 1130: loss 1.3780, time 3599.72ms, mfu 0.22%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 1140: loss 1.4124, time 4869.01ms, mfu 0.21%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 1150: loss 1.3869, time 4361.28ms, mfu 0.21%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 1160: loss 1.3866, time 3284.92ms, mfu 0.21%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 1170: loss 1.4053, time 4335.68ms, mfu 0.21%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 1180: loss 1.3735, time 3384.48ms, mfu 0.21%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 1190: loss 1.3663, time 3845.99ms, mfu 0.21%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 1200: loss 1.3592, time 3454.56ms, mfu 0.22%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 1210: loss 1.3649, time 4189.60ms, mfu 0.21%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 1220: loss 1.3588, time 3419.71ms, mfu 0.22%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 1230: loss 1.3371, time 3565.48ms, mfu 0.22%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 1240: loss 1.3338, time 5029.18ms, mfu 0.21%, MPS mem allocated=0.81GB, reserved=11.76GB
step 1250: train loss 1.2253, val loss 1.3181
saving checkpoint to out-shakespeare-char
iter 1250: loss 1.3215, time 379278.48ms, mfu 0.19%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 1260: loss 1.3056, time 4575.33ms, mfu 0.19%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 1270: loss 1.3311, time 3698.40ms, mfu 0.19%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 1280: loss 1.3251, time 4393.26ms, mfu 0.19%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 1290: loss 1.3225, time 3579.44ms, mfu 0.20%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 1300: loss 1.2884, time 4446.99ms, mfu 0.20%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 1310: loss 1.2755, time 3598.54ms, mfu 0.20%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 1320: loss 1.2550, time 3152.21ms, mfu 0.20%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 1330: loss 1.2647, time 3608.09ms, mfu 0.21%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 1340: loss 1.2383, time 3610.59ms, mfu 0.21%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 1350: loss 1.2424, time 3434.89ms, mfu 0.21%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 1360: loss 1.2235, time 3738.01ms, mfu 0.21%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 1370: loss 1.2059, time 3681.08ms, mfu 0.21%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 1380: loss 1.1977, time 3238.11ms, mfu 0.22%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 1390: loss 1.1621, time 3631.33ms, mfu 0.22%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 1400: loss 1.1753, time 3943.26ms, mfu 0.22%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 1410: loss 1.1658, time 3412.86ms, mfu 0.22%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 1420: loss 1.1410, time 4237.88ms, mfu 0.22%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 1430: loss 1.1314, time 3467.50ms, mfu 0.22%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 1440: loss 1.1134, time 4381.71ms, mfu 0.22%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 1450: loss 1.1025, time 3363.12ms, mfu 0.22%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 1460: loss 1.0886, time 4381.80ms, mfu 0.22%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 1470: loss 1.0794, time 3628.09ms, mfu 0.22%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 1480: loss 1.0722, time 4008.26ms, mfu 0.22%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 1490: loss 1.0535, time 3310.30ms, mfu 0.22%, MPS mem allocated=0.81GB, reserved=11.76GB
step 1500: train loss 0.8381, val loss 0.9416
saving checkpoint to out-shakespeare-char
iter 1500: loss 1.0383, time 376796.56ms, mfu 0.20%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 1510: loss 1.0260, time 3552.89ms, mfu 0.20%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 1520: loss 1.0092, time 4370.59ms, mfu 0.20%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 1530: loss 0.9952, time 3628.52ms, mfu 0.20%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 1540: loss 1.0047, time 3672.66ms, mfu 0.20%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 1550: loss 0.9809, time 3692.99ms, mfu 0.21%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 1560: loss 0.9772, time 3756.31ms, mfu 0.21%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 1570: loss 0.9422, time 3162.31ms, mfu 0.21%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 1580: loss 0.9473, time 3435.96ms, mfu 0.21%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 1590: loss 0.9184, time 3471.70ms, mfu 0.22%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 1600: loss 0.9380, time 3636.21ms, mfu 0.22%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 1610: loss 0.9100, time 3517.51ms, mfu 0.22%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 1620: loss 0.8701, time 3417.10ms, mfu 0.22%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 1630: loss 0.8922, time 3633.98ms, mfu 0.22%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 1640: loss 0.8664, time 2958.21ms, mfu 0.23%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 1650: loss 0.8845, time 3682.92ms, mfu 0.23%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 1660: loss 0.8705, time 4619.23ms, mfu 0.22%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 1670: loss 0.8495, time 5572.28ms, mfu 0.21%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 1680: loss 0.8575, time 3392.63ms, mfu 0.22%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 1690: loss 0.8340, time 4540.96ms, mfu 0.21%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 1700: loss 0.8362, time 3437.25ms, mfu 0.22%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 1710: loss 0.8378, time 4082.23ms, mfu 0.21%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 1720: loss 0.8094, time 3999.01ms, mfu 0.21%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 1730: loss 0.7970, time 3913.58ms, mfu 0.21%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 1740: loss 0.7843, time 6382.32ms, mfu 0.20%, MPS mem allocated=0.81GB, reserved=11.76GB
step 1750: train loss 0.5482, val loss 0.6621
saving checkpoint to out-shakespeare-char
iter 1750: loss 0.7973, time 392719.05ms, mfu 0.18%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 1760: loss 0.7823, time 4009.44ms, mfu 0.19%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 1770: loss 0.7666, time 4675.73ms, mfu 0.19%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 1780: loss 0.7697, time 4546.71ms, mfu 0.18%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 1790: loss 0.7730, time 4380.09ms, mfu 0.18%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 1800: loss 0.7602, time 4300.94ms, mfu 0.19%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 1810: loss 0.7580, time 4178.40ms, mfu 0.19%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 1820: loss 0.7441, time 4673.95ms, mfu 0.19%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 1830: loss 0.7361, time 4594.90ms, mfu 0.18%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 1840: loss 0.7299, time 4460.67ms, mfu 0.18%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 1850: loss 0.7250, time 3999.88ms, mfu 0.19%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 1860: loss 0.7069, time 4362.00ms, mfu 0.19%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 1870: loss 0.7218, time 4040.71ms, mfu 0.19%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 1880: loss 0.7050, time 3708.59ms, mfu 0.19%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 1890: loss 0.6909, time 4318.46ms, mfu 0.19%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 1900: loss 0.6972, time 3960.35ms, mfu 0.19%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 1910: loss 0.6810, time 3840.07ms, mfu 0.20%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 1920: loss 0.6772, time 3188.76ms, mfu 0.20%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 1930: loss 0.6761, time 3948.76ms, mfu 0.20%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 1940: loss 0.6720, time 3744.80ms, mfu 0.20%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 1950: loss 0.6876, time 4116.35ms, mfu 0.20%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 1960: loss 0.6900, time 4059.38ms, mfu 0.20%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 1970: loss 0.6499, time 4361.85ms, mfu 0.20%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 1980: loss 0.6683, time 4556.96ms, mfu 0.20%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 1990: loss 0.6530, time 3680.67ms, mfu 0.20%, MPS mem allocated=0.81GB, reserved=11.76GB
step 2000: train loss 0.3994, val loss 0.5190
saving checkpoint to out-shakespeare-char
iter 2000: loss 0.6446, time 401048.36ms, mfu 0.18%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 2010: loss 0.6306, time 4409.37ms, mfu 0.18%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 2020: loss 0.6253, time 3915.89ms, mfu 0.18%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 2030: loss 0.6449, time 3890.91ms, mfu 0.19%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 2040: loss 0.6223, time 4112.75ms, mfu 0.19%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 2050: loss 0.6206, time 4298.39ms, mfu 0.19%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 2060: loss 0.6073, time 3620.25ms, mfu 0.19%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 2070: loss 0.6081, time 5001.53ms, mfu 0.19%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 2080: loss 0.5871, time 4103.19ms, mfu 0.19%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 2090: loss 0.6073, time 5622.74ms, mfu 0.19%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 2100: loss 0.6080, time 4539.73ms, mfu 0.19%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 2110: loss 0.6011, time 4366.06ms, mfu 0.19%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 2120: loss 0.5947, time 4024.67ms, mfu 0.19%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 2130: loss 0.5830, time 4273.92ms, mfu 0.19%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 2140: loss 0.5631, time 4251.86ms, mfu 0.19%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 2150: loss 0.5761, time 4399.89ms, mfu 0.19%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 2160: loss 0.5757, time 3784.92ms, mfu 0.19%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 2170: loss 0.5726, time 4099.54ms, mfu 0.19%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 2180: loss 0.5767, time 3671.18ms, mfu 0.20%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 2190: loss 0.5608, time 3557.57ms, mfu 0.20%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 2200: loss 0.5495, time 4095.41ms, mfu 0.20%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 2210: loss 0.5558, time 5146.29ms, mfu 0.19%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 2220: loss 0.5436, time 4098.62ms, mfu 0.20%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 2230: loss 0.5549, time 4079.21ms, mfu 0.20%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 2240: loss 0.5408, time 4143.27ms, mfu 0.20%, MPS mem allocated=0.81GB, reserved=11.76GB
step 2250: train loss 0.2951, val loss 0.4160
saving checkpoint to out-shakespeare-char
iter 2250: loss 0.5283, time 402602.13ms, mfu 0.18%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 2260: loss 0.5366, time 4008.21ms, mfu 0.18%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 2270: loss 0.5290, time 10835.39ms, mfu 0.17%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 2280: loss 0.5315, time 2843.09ms, mfu 0.18%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 2290: loss 0.5124, time 5363.33ms, mfu 0.18%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 2300: loss 0.5247, time 3655.92ms, mfu 0.18%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 2310: loss 0.4960, time 3120.61ms, mfu 0.19%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 2320: loss 0.5102, time 4171.69ms, mfu 0.19%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 2330: loss 0.5017, time 4100.52ms, mfu 0.19%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 2340: loss 0.5059, time 4201.16ms, mfu 0.19%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 2350: loss 0.5040, time 4606.30ms, mfu 0.19%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 2360: loss 0.5153, time 4092.36ms, mfu 0.19%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 2370: loss 0.5094, time 3726.91ms, mfu 0.19%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 2380: loss 0.4930, time 4151.26ms, mfu 0.20%, MPS mem allocated=0.81GB, reserved=11.76GB
